"[object Object]","类型","占有内存","Key数量","元素数量"
"bibi","zset","1.02 GB","1.15M","14.43M"
"bibi","hash","657.90 MB","630.45K","8.83M"
"bibi_user","zset","643.67 MB","869.34K","8.97M"
"bibi","string","613.78 MB","3.40M","3.40M"
"bibi","set","544.23 MB","448.72K","6.91M"
"bibi_user","hash","340.04 MB","328.03K","6.52M"
"bibi:{gift","set","292.47 MB","71.14K","3.58M"
"bibi:{gift_red","set","292.47 MB","71.14K","3.58M"
"bibi_user","string","274.02 MB","1.41M","1.41M"
"bibi_user_active","zset","254.13 MB","8","2.79M"
"bibi_check","hash","241.65 MB","179.34K","954.17K"
"bibi_check_in","hash","241.65 MB","179.34K","954.17K"
"bibi_moment","set","216.76 MB","47.06K","2.69M"
"bibi_moment_view","set","216.76 MB","47.03K","2.69M"
"bibi:moments","zset","186.09 MB","17.94K","2.34M"
"bibi:moments_vistor","zset","186.09 MB","17.94K","2.34M"
"bibi_h5","string","177.72 MB","1.37M","1.37M"
"bibi_h5_login","string","177.36 MB","1.37M","1.37M"
"bibi_user_login","zset","156.00 MB","484.85K","2.45M"
"bibi_user_remark","string","151.23 MB","1.24M","1.24M"
"bibi_user_last","hash","141.23 MB","40.94K","3.81M"
"bibi_room","zset","119.32 MB","62.40K","1.21M"
"bibi_user_mission","hash","117.67 MB","1","93.42K"
"bibi_user_visitor","zset","112.22 MB","212.71K","2.00M"
"bibi_user_total","zset","87.25 MB","18.89K","1.19M"
"bibi_room_visitor","zset","61.55 MB","34.98K","759.50K"
"bibi_user_summary","string","59.50 MB","21.23K","21.23K"
"bibi_moment","zset","54.61 MB","46.83K","1.09M"
"bibi_moment_show","zset","54.61 MB","46.83K","1.09M"
"bibi_room","hash","53.04 MB","100.87K","859.02K"
"bibi_user_like","hash","34.79 MB","125.56K","1.47M"
"bibi_task","string","31.70 MB","377.32K","377.32K"
"bibi_task_rule","string","31.70 MB","377.32K","377.32K"
"bibi_room_dating","zset","25.29 MB","2","7.87K"
"bibi_mq","string","24.90 MB","18.39K","18.39K"
"bibi_user","set","22.78 MB","255.98K","372.19K"
"bibi_mq_gift","string","22.29 MB","13.88K","13.88K"
"bibi_room_total","zset","22.09 MB","5.58K","280.35K"
"bibi_user_mission","set","21.87 MB","252.24K","365.26K"
"bibi_room_fm","hash","16.77 MB","1.99K","397.74K"
"bibi_acc","string","16.72 MB","33.28K","33.28K"
"bibi_acc_latest","string","16.72 MB","33.28K","33.28K"
"bibi_room","string","16.56 MB","15.86K","15.86K"
"bibi_room_mic","hash","14.59 MB","23.52K","212.14K"
"bibi_user_punch","zset","13.84 MB","93.12K","274.52K"
"bibi_uid","string","13.21 MB","18.18K","18.18K"
"bibi_pal","string","12.63 MB","26","26"
"bibi_pal_single","string","12.63 MB","2","2"
"bibi_user_counter","hash","12.33 MB","133.98K","190.70K"
"bibi_had","string","12.00 MB","1","1"
"bibi_had_played","string","12.00 MB","1","1"
"bibi_forbid","string","12.00 MB","1","1"
"bibi_forbid_following","string","12.00 MB","1","1"
"bibi_user_act","zset","11.66 MB","87","130.44K"
"bibi_user_is","string","10.82 MB","70.91K","70.91K"
"bibi_task","zset","10.70 MB","104.84K","398.33K"
"bibi_task_rule","zset","10.70 MB","104.84K","398.33K"
"bibi_uid_custom","string","9.56 MB","7.02K","7.02K"
"bibi_user_level","hash","9.54 MB","4.89K","288.05K"
"bibi_radio","zset","8.11 MB","7.29K","126.90K"
"bibi_radio_room","zset","8.11 MB","7.29K","126.90K"
"bibi_achievement","set","7.55 MB","73.59K","134.10K"
"bibi_achievement_user","set","7.55 MB","73.59K","134.10K"
"bibi_room_recive","zset","7.51 MB","6.17K","117.71K"
"bibi_report","hash","7.36 MB","1","190.59K"
"bibi_report_user","hash","7.36 MB","1","190.59K"
"bibi_room_user","hash","7.17 MB","59.61K","59.61K"
"bibi_user_attach","hash","6.96 MB","1","26.39K"
"bibi_convene","string","6.52 MB","35.68K","35.68K"
"bibi_convene_id","string","6.52 MB","35.68K","35.68K"
"bibi_user_permit","zset","5.17 MB","52.87K","60.77K"
"bibi_vip","string","5.05 MB","47.57K","47.57K"
"bibi_vip_user","string","5.05 MB","47.57K","47.57K"
"bibi_gift","zset","4.97 MB","34.88K","98.69K"
"bibi_gift_rocket","zset","4.97 MB","34.88K","98.69K"
"bibi_platform","set","4.50 MB","5","114.76K"
"bibi_platform_push","set","4.50 MB","5","114.76K"
"bibi_rank","zset","4.47 MB","1.68K","60.29K"
"bibi_rank_room","zset","4.47 MB","1.68K","60.29K"
"bibi_user_gift","hash","4.21 MB","20.93K","393.70K"
"bibi_person","hash","4.10 MB","1","113.49K"
"bibi_person_room","hash","4.10 MB","1","113.49K"
"bibi_personal","zset","3.49 MB","1","37.12K"
"bibi_achievement","hash","3.46 MB","28","88.84K"
"bibi_achievement_finish","hash","3.46 MB","28","88.84K"
"bibi_user_wxpub","hash","3.07 MB","1","68.63K"
"bibi_private","hash","3.05 MB","5.11K","9.00K"
"bibi_uid_access","string","2.86 MB","5.35K","5.35K"
"bibi_user_general","hash","2.40 MB","248","1.28K"
"bibi_mq_moment","string","2.13 MB","3.70K","3.70K"
"bibi_lock","string","2.12 MB","15.41K","15.41K"
"bibi_lock_gift","string","2.10 MB","15.27K","15.27K"
"bibi_room_gift","hash","1.58 MB","9.32K","112.95K"
"bibi_user_last","string","1.56 MB","5","5"
"bibi_punch","string","1.51 MB","9.89K","9.89K"
"bibi_punch_room","string","1.51 MB","9.89K","9.89K"
"bibi_splashadv","string","1.45 MB","14.65K","14.65K"
"bibi_splashadv_uid","string","1.45 MB","14.65K","14.65K"
"bibi:uncertify","string","1.29 MB","10.58K","10.58K"
"bibi:uncertify_user","string","1.29 MB","10.58K","10.58K"
"bibi:moment","hash","1.18 MB","9.21K","22.89K"
"bibi:moment_comment","hash","1.18 MB","9.21K","22.89K"
"bibi_vigour","zset","1.16 MB","3","13.13K"
"bibi_room_recent","zset","1.08 MB","9.56K","16.68K"
"bibi_room_cross","string","1.07 MB","3.46K","3.46K"
"bibi_await","hash","1022.36 KB","4","18.84K"
"bibi_await_gem","hash","1022.36 KB","4","18.84K"
"bibi_user_grand","zset","1002.37 KB","5","10.86K"
"bibi_third","string","938.75 KB","6.64K","6.64K"
"bibi_third_audit","string","938.75 KB","6.64K","6.64K"
"bibi_user_week","zset","899.81 KB","2.27K","36.44K"
"bibi_vigour_purchase","zset","867.26 KB","2","9.56K"
"bibi_user_exchange","zset","865.75 KB","8","9.09K"
"bibi_user_punch","string","839.84 KB","10.75K","10.75K"
"bibi_official","hash","831.97 KB","1","19.11K"
"bibi_official_compensate","hash","831.97 KB","1","19.11K"
"bibi_uid_ticket","string","816.61 KB","5.81K","5.81K"
"bibi_guild","zset","776.57 KB","4.82K","16.20K"
"bibi_room_pk","hash","766.19 KB","1.01K","2.04K"
"bibi_user_filter","set","746.39 KB","2.14K","4.93K"
"bibi_feed","zset","742.99 KB","335","34.55K"
"bibi_guild_member","zset","732.63 KB","4.76K","14.25K"
"bibi_moment","string","657.77 KB","3.73K","3.73K"
"bibi_gift","hash","575.89 KB","1","1.49K"
"bibi_otaku","zset","572.21 KB","5","6.37K"
"bibi_otaku_rank","zset","572.21 KB","5","6.37K"
"bibi_room_week","zset","546.52 KB","395","7.92K"
"bibi_room_true","zset","537.75 KB","4.23K","8.90K"
"bibi_user_room","hash","537.68 KB","746","5.70K"
"bibi_feed_user","zset","503.84 KB","325","32.75K"
"bibi_room_serial","zset","488.72 KB","1","5.18K"
"bibi_moment_thumbs","string","485.95 KB","3.27K","3.27K"
"bibi_pk","zset","483.41 KB","85","5.70K"
"bibi:fans","string","468.96 KB","2.22K","2.22K"
"bibi:fans_team","string","468.96 KB","2.22K","2.22K"
"bibi_video","hash","455.80 KB","510","512"
"bibi_video_task","hash","455.80 KB","510","512"
"bibi_pk_contribution","zset","446.11 KB","1","4.63K"
"bibi:hand","hash","432.09 KB","3.57K","14.31K"
"bibi:hand_book","hash","432.09 KB","3.57K","14.31K"
"bibi_user_show","zset","430.29 KB","2.98K","10.57K"
"bibi:{gift","string","406.13 KB","2.15K","2.15K"
"bibi:{gift_red","string","406.13 KB","2.15K","2.15K"
"bibi_user_roommic","hash","400.66 KB","722","1.98K"
"bibi:room","zset","380.69 KB","105","4.38K"
"bibi_mq_mission","string","376.57 KB","651","651"
"bibi_h5_sign","string","370.31 KB","1.98K","1.98K"
"bibi:rank","zset","350.59 KB","438","7.55K"
"bibi:rank_room","zset","350.59 KB","438","7.55K"
"bibi:room_fm","zset","348.17 KB","100","4.03K"
"bibi_room_business","hash","332.50 KB","3.56K","3.62K"
"bibi_user_school","string","331.30 KB","3.03K","3.03K"
"bibi_vigour_rank","zset","318.53 KB","1","3.57K"
"bibi_user_day","zset","287.32 KB","1.52K","10.00K"
"bibi_room_member","hash","243.61 KB","933","7.33K"
"bibi_feed_moment","zset","239.15 KB","10","1.80K"
"bibi:user","string","234.59 KB","1.77K","1.77K"
